brand,image,name,p_url,price,rrp,url
Adidas,https://img.tkmaxx.com/medias/14051668-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDI1NDcxfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGQ4L2g0Mi8xMjc0MjkxNjYzNjcwMi5qcGd8MTRlNjA1N2M0MWM4Yjg0MGNjNzkyZjY0ZjRjYTRkMGZhOWQyZTQzNTVhNmM5NDY5ZTdjMzIwZGJkMWJmN2EzNA,Black Branded Leggings,/uk/en/kids+toys/kids-clothing/girls/jeans-trousers-skirts+leggings/black-branded-leggings/p/14051668,£9.99,RRP £20.00,https://www.tkmaxx.com/uk/en/kids+toys/kids-clothing/girls/jeans-trousers-skirts+leggings/black-branded-leggings/p/14051668
Rachel Jackson,https://img.tkmaxx.com/medias/76753023-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDI0NDQ0fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDY0L2gzNi8xMjc0MDA3NDQwNTkxOC5qcGd8ZTE1YTJlOTYxYWYwYzE1ZjlhMGI4YmQ3MDdiYTc5NzAzZGE4YWE0YzJlNmVkODU3MTE2ZDBiMGUwYjk0NDIyNg,Sterling Silver Open Heart Necklace,/uk/en/women/accessories/jewellery/necklaces/sterling-silver-open-heart-necklace/p/76753023,£34.99,RRP £195.00,https://www.tkmaxx.com/uk/en/women/accessories/jewellery/necklaces/sterling-silver-open-heart-necklace/p/76753023
Rachel Zoe,https://img.tkmaxx.com/medias/05373316-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDQ1MzE3fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGZmL2hjNi8xMjc0MjE2NjIxNjczNC5qcGd8ZGQxOGM2NWI2NmZmNjBiYzU5NWMxNjJiM2YyNzY2MzQ0MWIzMjFhNzgyNDVhYjIxYjQyMjgzZTlmMzExMDI4Zg,Oatmeal Faux Fur Plaid Cardigan,/uk/en/women/clothing/knitwear/oatmeal-faux-fur-plaid-cardigan/p/05373316,£29.99,,https://www.tkmaxx.com/uk/en/women/clothing/knitwear/oatmeal-faux-fur-plaid-cardigan/p/05373316
Versace,https://img.tkmaxx.com/medias/76668096-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDYwOTkyfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGI0L2hmMi8xMjc0MjM4ODM1MTAwNi5qcGd8ODczZmFhNjNkZjcyYjFhNTc0NDVhMTYzZGU4YzRlZTFkZDNhYzI5ZjMwYjcwNDBjMjQzMDZiZjY2MDAxMjIzNQ,Gold Tone Analogue Watch,/uk/en/men/accessories/watches+jewellery/mens-watches/gold-tone-analogue-watch/p/76668096,£449.99,"RRP £1,070.00",https://www.tkmaxx.com/uk/en/men/accessories/watches+jewellery/mens-watches/gold-tone-analogue-watch/p/76668096
Ettika,https://img.tkmaxx.com/medias/76756047-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDM0NjExfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDk2L2gxYy8xMjc0MDIxNzQzODIzOC5qcGd8YWI0YjQ1ZjA2ODMyYWUwZjdkMzUyMWM4MjVlZDRjMDYwMzgwMjE3Nzk3ODZmMTU4NDQ5NzZjYjg4NDQzZjU1Yg,Gold Tone & Green Embellished Hoop Earrings,/uk/en/women/accessories/jewellery/earrings/gold-tone+green-embellished-hoop-earrings/p/76756047,£12.99,RRP £34.00,https://www.tkmaxx.com/uk/en/women/accessories/jewellery/earrings/gold-tone+green-embellished-hoop-earrings/p/76756047
 ,https://img.tkmaxx.com/medias/84204887-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDI3NTI0fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGQ0L2g2Yy8xMjczODczMDQ1OTE2Ni5qcGd8MzlkYjMyNDBmMDNkMWNmNzRlY2QyNGQxMTU0NDlkNzdlNmRjNzE4YjRjOGM1NmQxMWMzY2I1YTViODExYzFhYQ,Gold Tone & Brown Planter 45x22cm,/uk/en/home/garden/gold-tone+brown-planter-45x22cm/p/84204887,£16.99,,https://www.tkmaxx.com/uk/en/home/garden/gold-tone+brown-planter-45x22cm/p/84204887
Cote D'Argent,https://img.tkmaxx.com/medias/76704946-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDI1OTE3fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGE2L2g2OC8xMjczODY0NjYwNTg1NC5qcGd8ZDI5YjRiY2YzODIxNjA4MWM5MDlmMjk3MGVhNjBlZWU4MzEwNDBmOTQ2ODZiOGEzYzdhNWFiYWQyMjczOTEzMA,Three Pack Sterling Silver Cubic Zirconia Rings,/uk/en/women/accessories/jewellery/rings/three-pack-sterling-silver-cubic-zirconia-rings/p/76704946,£34.99,,https://www.tkmaxx.com/uk/en/women/accessories/jewellery/rings/three-pack-sterling-silver-cubic-zirconia-rings/p/76704946
Canada Goose,https://img.tkmaxx.com/medias/07255543-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDMxNjgzfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDZmL2hjZi8xMjc0MjY1MjI2NDQ3OC5qcGd8YzEyN2UyY2JjYzAzNWU2MzhkNWJiYzg2MGRhMWExYzgxN2FlMWNkODExMWNjMzg3NWIzY2ViODc3Yzc3MmM1Zg,Navy Merino Wool Branded Jumper,/uk/en/women/activewear/outdoor/fleece+baselayers/navy-merino-wool-branded-jumper/p/07255543,£229.99,,https://www.tkmaxx.com/uk/en/women/activewear/outdoor/fleece+baselayers/navy-merino-wool-branded-jumper/p/07255543
Charlotte Rose,https://img.tkmaxx.com/medias/16691658-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDM2MDU2fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGNkL2gyMC8xMjc0MjY3NjAyMTI3OC5qcGd8ZTkyYTJhNjdkYmYwYTM1NTJmZTE4MTQ5NGM5YTlhYWIwMzk5OTIyMDIxNzg0YzNiNDA2ZGUzMTYxMTRlNzEwZA,Microwaveable Lavender Neck Wrap ,/uk/en/women/beauty/wellness/microwaveable-lavender-neck-wrap/p/16691658,£5.99,RRP £12.99,https://www.tkmaxx.com/uk/en/women/beauty/wellness/microwaveable-lavender-neck-wrap/p/16691658
Evoluderm,https://img.tkmaxx.com/medias/16778446-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDMwMzU5fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDE3L2hkMC8xMjc0MjczMDU0NzIzMC5qcGd8YzRjODAzZWQxMTg4YmM3OWM2YjIzZDA1ODczNGY5NDZhOTE2NWQ4NTJjZTBmZTM4ZmE0ZDM0ZWYzYTM1MWEwOQ,Argan Ultra-Nourishing Body Lotion 1L ,/uk/en/women/beauty/body+bath/body-lotions+oils/argan-ultra-nourishing-body-lotion-1l/p/16778446,£6.99,RRP £17.00,https://www.tkmaxx.com/uk/en/women/beauty/body+bath/body-lotions+oils/argan-ultra-nourishing-body-lotion-1l/p/16778446
 ,https://img.tkmaxx.com/medias/84204911-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDI0MzIxfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGU2L2gwNC8xMjczODc4MzU0MzMyNi5qcGd8Nzg4MTg2MjY0MjkxN2IwMWRhMDA2ZTU5NjkyODA4YzBkZmU1YmM0NDc2ZWNhYTBmNmYyYzJiNDcwZDM1Y2JlYg,Gold Tone Bowl Planter 15x29cm,/uk/en/home/garden/gold-tone-bowl-planter-15x29cm/p/84204911,£12.99,,https://www.tkmaxx.com/uk/en/home/garden/gold-tone-bowl-planter-15x29cm/p/84204911
Trussardi,https://img.tkmaxx.com/medias/29409623-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDM4MjQyfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDdmL2gxMy8xMjc0MjIwMzYzNzc5MC5qcGd8ZDU1OTY3ZTQzZDNlMDE2NWUzYTVmOWMxMThiNzQyOTdhYjNmMjI5MWE5ZDdlMDJiMDBiOGZiMGIxYzZkYjkzMg,Grey Knitted Jumper,/uk/en/men/clothing/jumpers+cardigans/grey-knitted-jumper/p/29409623,£39.99,RRP £330.00,https://www.tkmaxx.com/uk/en/men/clothing/jumpers+cardigans/grey-knitted-jumper/p/29409623
Rukhsana Jewellery Ltd,https://img.tkmaxx.com/medias/76730532-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDI4NDAzfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaDkwL2hiYS8xMjczODcxMjgyOTk4Mi5qcGd8OTc2NDdiMWMyMzMwYTkzMWU2MDY5NzM5NTRkYzBhMmYwMWYxNmY4ODFlYTM1M2I0ODIzOGQwMjQ0NzJlYjAxNw,Silver Tone Pearl Effect Drop Earrings,/uk/en/women/accessories/jewellery/earrings/silver-tone-pearl-effect-drop-earrings/p/76730532,£9.99,RRP £29.95,https://www.tkmaxx.com/uk/en/women/accessories/jewellery/earrings/silver-tone-pearl-effect-drop-earrings/p/76730532
Ettika,https://img.tkmaxx.com/medias/76756056-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDI0OTY3fGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGUzL2g5NS8xMjc0MDI2OTQ0MTA1NC5qcGd8ZDU0YmQ3MGZmZmY0N2U1YmQyMGEyNWI4MmE5MjJjYzFhZWFlODIxMzNmZDYyOWY3MTE5MmVlZGY5YTcwZTA3Yw,White Pearl Effect Drop Earrings,/uk/en/women/accessories/jewellery/earrings/white-pearl-effect-drop-earrings/p/76756056,£9.99,RRP £30.00,https://www.tkmaxx.com/uk/en/women/accessories/jewellery/earrings/white-pearl-effect-drop-earrings/p/76756056
Cartier,https://img.tkmaxx.com/medias/42288224-medium-wl-01.jpg?context=bWFzdGVyfHByb2R1Y3QtaW1hZ2VzfDM0NzAyfGltYWdlL2pwZWd8cHJvZHVjdC1pbWFnZXMvaGVhL2gwNS8xMjc0MjQ4MDAwMzEwMi5qcGd8YmZkM2QwZTkzMGY4NTI1ZmIwZjg5ZjdhNzZlZmJiYjEwNTMwYTI2NDI2ZmRlOWEyMzQ3ZjE1MzhiN2IwN2RkZA,La Panthere EDP 25ml,/uk/en/women/beauty/fragrance+perfume/la-panthere-edp-25ml/p/42288224,£49.99,RRP £62.00,https://www.tkmaxx.com/uk/en/women/beauty/fragrance+perfume/la-panthere-edp-25ml/p/42288224
